,tweet_count,tweet_source,tweet_text,tweet_date,tweet_comp_score,tweet_neg_score,tweet_pos_score,tweet_neu_score
0,0,BBC News (World),"Obituary: Shan Tianfang, China's beloved storyteller https://t.co/4JPfdtBhSy",Sat Sep 22 23:11:47 +0000 2018,0.5106,0.0,0.355,0.645
1,1,BBC News (World),"RT @BBCSport: Anthony Joshua wins! 🥊

He’s won by knockout in round 7!

AJ retains his heavyweight titles. 

Live reaction https://t.co/e2u…",Sat Sep 22 21:46:36 +0000 2018,0.8395,0.0,0.285,0.715
2,2,BBC News (World),Intruder entered Irish president's house Áras an Uachtaráin https://t.co/rkf8cWkvq1,Sat Sep 22 20:47:23 +0000 2018,0.0,0.0,0.0,1.0
3,3,BBC News (World),Asian rivals eye 'flawed' Maldives poll https://t.co/IWfuoJmCv7,Sat Sep 22 20:44:37 +0000 2018,0.0,0.0,0.0,1.0
4,4,BBC News (World),Kavanaugh accuser 'to testify next week' https://t.co/GxYxnnSYT7,Sat Sep 22 18:50:08 +0000 2018,0.0,0.0,0.0,1.0
5,5,BBC News (World),Iran blames Gulf rivals for deadly Ahvaz attack https://t.co/QQ6wwoLESv,Sat Sep 22 17:09:52 +0000 2018,-0.7003,0.453,0.0,0.547
6,6,BBC News (World),"Gunmen have opened fire on a military parade in Iran, killing at least 25 people https://t.co/dFrcAqPH0q

Caution:… https://t.co/iNigneiPyO",Sat Sep 22 16:16:30 +0000 2018,-0.7783,0.312,0.0,0.688
7,7,BBC News (World),"A Kenyan judge has lifted a ban on a film about a lesbian relationship — for one week only

(Tap to expand)… https://t.co/GmN8Fe8OQG",Sat Sep 22 16:07:51 +0000 2018,-0.5574,0.175,0.0,0.825
8,8,BBC News (World),Italy acquits Tunisian 'migrant smuggling' fishermen https://t.co/mbXPopdg5l,Sat Sep 22 14:53:45 +0000 2018,-0.4588,0.337,0.12,0.543
9,9,BBC News (World),Bullet train: Hong Kong express rail link launches amid controversy https://t.co/n9zFfFnTwm,Sat Sep 22 14:43:21 +0000 2018,0.0,0.0,0.0,1.0
10,10,BBC News (World),China Catholic bishops: Historic deal with Vatican reached https://t.co/uHVyIkl90i,Sat Sep 22 13:39:50 +0000 2018,0.1027,0.0,0.149,0.851
11,11,BBC News (World),Simon Coveney criticises DUP over Brexit backstop 'veto' https://t.co/6LEfzuaC1m,Sat Sep 22 13:03:11 +0000 2018,-0.3182,0.223,0.0,0.777
12,12,BBC News (World),In pictures: Beer flows as Germany's Oktoberfest opens in Munich https://t.co/LY4E0sdbO7,Sat Sep 22 11:16:43 +0000 2018,0.0,0.0,0.0,1.0
13,13,BBC News (World),Man saved from air pocket in sunken ferry https://t.co/T9DdCNaoZv,Sat Sep 22 11:11:28 +0000 2018,0.4215,0.0,0.259,0.741
14,14,BBC News (World),Paul Gosar: Siblings savage congressman in attack advert https://t.co/N8qtBmlMpx,Sat Sep 22 10:18:15 +0000 2018,-0.7269,0.466,0.0,0.534
15,15,BBC News (World),Afghan children killed in police station bomb blast https://t.co/GfEPbrcS5d,Sat Sep 22 08:04:22 +0000 2018,-0.8271,0.524,0.0,0.476
16,16,BBC News (World),Deadly gun attack at Iran military parade https://t.co/porAvGYwmw,Sat Sep 22 06:20:51 +0000 2018,-0.6705,0.478,0.0,0.522
17,17,BBC News (World),Brett Kavanaugh: Judge accuser 'given more time' for hearing https://t.co/arh73fH7BW,Sat Sep 22 05:35:56 +0000 2018,0.0,0.0,0.0,1.0
